Winner,Score,Rounds,Score Threshold,Dice Threshold,Consider Score,Consider Dice,Smart
Player 2,12800,21,,,,,
Player 8,11100,14,,,,,
Player 15,10150,19,,,,,
Player 18,10050,21,,,,,
Player 22,10200,13,,,,,
Player 29,10500,12,,,,,
Player 33,10300,14,,,,,
Player 36,10150,16,,,,,
Player 42,10100,19,,,,,
Player 49,10100,16,,,,,
Player 52,11400,20,,,,,
Player 57,11050,14,,,,,
Player 63,10100,13,,,,,
Player 69,10100,10,,,,,
Player 74,12250,25,,,,,
Player 80,10650,13,,,,,
Player 85,10200,15,,,,,
Player 87,10000,17,,,,,
Player 91,10100,13,,,,,
Player 96,10400,20,,,,,
Player 104,10050,19,,,,,
Player 106,10100,18,,,,,
Player 112,10500,8,,,,,
Player 117,10500,13,,,,,
Player 124,11600,19,,,,,
Player 126,10050,14,,,,,
Player 131,12400,20,,,,,
Player 136,12700,16,,,,,
Player 142,12750,16,,,,,
Player 146,10250,19,,,,,
Player 151,11300,12,,,,,
Player 160,11400,17,,,,,
Player 165,10450,18,,,,,
Player 169,10150,13,,,,,
Player 174,10500,16,,,,,
Player 177,11450,24,,,,,
Player 185,10200,19,,,,,
Player 189,11250,16,,,,,
Player 193,10600,17,,,,,
Player 197,10000,22,,,,,
Player 204,10200,22,,,,,
Player 209,10450,14,,,,,
Player 215,10600,9,,,,,
Player 216,10250,14,,,,,
Player 222,12450,17,,,,,
Player 226,10150,14,,,,,
Player 232,10200,9,,,,,
Player 239,10350,22,,,,,
Player 245,10250,15,,,,,
Player 247,11100,12,,,,,
Player 254,10850,16,,,,,
Player 257,10650,22,,,,,
Player 263,10900,16,,,,,
Player 269,10500,17,,,,,
Player 272,10450,15,,,,,
Player 277,10850,13,,,,,
Player 281,10150,19,,,,,
Player 287,10650,17,,,,,
Player 294,10150,19,,,,,
Player 296,10200,13,,,,,
Player 302,10850,13,,,,,
Player 307,10100,18,,,,,
Player 314,10250,11,,,,,
Player 318,10950,22,,,,,
Player 325,10200,8,,,,,
Player 327,10200,22,,,,,
Player 331,10450,13,,,,,
Player 336,10150,14,,,,,
Player 341,10650,14,,,,,
Player 346,10350,20,,,,,
Player 351,11400,28,,,,,
Player 358,10050,17,,,,,
Player 363,10000,11,,,,,
Player 367,10050,14,,,,,
Player 371,10350,13,,,,,
Player 380,10500,19,,,,,
Player 384,10400,13,,,,,
Player 389,11300,17,,,,,
Player 395,12300,14,,,,,
Player 396,10250,14,,,,,
Player 405,10150,15,,,,,
Player 406,10200,19,,,,,
Player 415,10100,19,,,,,
Player 416,11200,17,,,,,
Player 422,10250,15,,,,,
Player 426,13600,19,,,,,
Player 433,10100,12,,,,,
Player 439,10550,24,,,,,
Player 441,10350,16,,,,,
Player 450,10500,18,,,,,
Player 453,12100,16,,,,,
Player 456,10000,17,,,,,
Player 464,10000,21,,,,,
Player 468,10000,18,,,,,
Player 472,10850,23,,,,,
Player 477,10350,20,,,,,
Player 485,10750,19,,,,,
Player 487,10350,14,,,,,
Player 494,11350,15,,,,,
Player 499,10050,18,,,,,
Player 503,10100,18,,,,,
Player 507,10200,16,,,,,
Player 512,10100,13,,,,,
Player 519,10150,12,,,,,
Player 521,10000,11,,,,,
Player 530,10750,21,,,,,
Player 535,11700,11,,,,,
Player 539,10500,18,,,,,
Player 545,10150,18,,,,,
Player 547,11000,21,,,,,
Player 553,11100,13,,,,,
Player 557,10200,17,,,,,
