Score Threshold,Dice Threshold,Consider Score,Consider Dice,Smart,Count
250,3,True,False,True,174
750,2,True,True,False,168
500,2,True,True,True,164
900,2,True,True,True,163
1000,2,True,True,False,163
250,1,True,False,True,161
650,2,True,True,False,161
350,1,True,True,False,160
350,2,True,False,True,159
300,1,True,True,False,158
550,2,True,True,True,157
700,2,True,True,True,157
900,2,True,True,False,156
350,2,True,False,False,156
350,4,True,False,False,156
1000,2,True,True,True,155
850,2,True,True,True,155
350,0,True,False,True,155
300,4,True,False,False,154
300,0,True,True,False,154
350,1,True,True,True,153
600,2,True,True,True,152
350,2,True,True,False,151
1000,3,False,True,True,150
300,3,False,True,False,150
350,1,True,False,False,150
550,2,True,True,False,149
800,2,True,True,False,149
200,2,True,True,True,149
250,3,True,False,False,149
800,3,True,True,True,149
300,1,True,False,False,149
400,2,True,False,True,149
900,3,False,True,True,148
450,2,True,True,True,148
650,1,True,True,False,148
450,1,True,True,False,147
450,3,False,True,False,147
950,3,False,True,True,147
800,3,False,True,False,147
300,1,True,True,True,147
300,2,True,True,True,147
600,2,True,True,False,146
450,2,True,True,False,146
400,2,True,True,True,146
900,3,True,True,False,146
950,3,False,True,False,146
300,2,True,True,False,145
900,2,False,True,False,145
750,2,True,True,True,145
250,0,True,True,False,145
600,3,True,True,True,145
650,2,True,True,True,145
300,0,True,False,True,145
350,4,True,False,True,145
950,3,True,True,False,144
950,2,True,True,True,144
250,2,True,False,False,144
800,1,True,True,False,144
400,1,True,True,False,143
250,4,True,False,False,143
200,4,True,False,True,143
450,0,True,True,False,142
750,3,True,True,True,142
200,2,True,False,True,142
350,2,True,True,True,142
300,2,True,False,False,141
500,2,True,True,False,141
850,3,True,True,False,141
400,1,True,True,True,141
500,2,True,False,False,141
350,3,True,True,True,141
950,2,True,True,False,141
750,3,False,True,False,140
300,2,True,False,True,140
450,2,True,False,False,140
600,1,True,False,False,140
150,3,False,True,True,140
250,2,True,False,True,140
100,3,False,True,True,140
350,3,False,True,False,140
850,3,True,True,True,139
350,3,True,False,False,138
850,2,True,True,False,138
300,0,True,False,False,138
350,0,True,True,True,138
800,1,True,True,True,138
550,2,False,True,True,138
250,3,True,True,False,138
850,3,False,True,False,138
500,3,False,True,False,138
550,3,True,True,False,138
1000,1,True,True,True,137
350,3,False,True,True,137
250,0,True,True,True,137
300,4,True,False,True,137
600,3,False,True,False,137
350,3,True,False,True,137
250,0,True,False,True,137
450,1,True,False,True,137
500,1,True,True,True,137
300,1,True,False,True,137
350,2,False,True,False,136
500,2,False,True,True,136
600,1,True,True,False,136
1000,3,True,True,False,136
500,1,True,False,False,136
650,1,True,True,True,136
200,2,False,True,False,135
200,0,True,False,True,135
250,2,True,True,True,135
200,3,True,True,True,135
350,3,True,True,False,135
900,2,False,True,True,135
250,1,True,True,True,135
450,0,True,True,True,135
200,3,True,False,True,135
400,0,True,True,True,135
300,3,True,False,True,135
250,4,True,False,True,135
1000,3,True,True,True,135
350,0,True,False,False,134
450,4,True,False,False,134
500,3,True,False,True,134
500,3,False,True,True,134
450,2,True,False,True,134
500,2,True,False,True,134
900,3,False,True,False,134
500,2,False,True,False,134
600,1,True,False,True,134
400,3,False,True,True,133
400,1,True,False,False,133
300,3,False,True,True,133
300,3,True,False,False,133
350,0,True,True,False,133
400,3,True,False,True,133
300,0,True,True,True,132
700,3,False,True,True,132
700,2,True,True,False,132
500,0,True,True,True,132
600,3,False,True,True,132
400,0,True,False,False,132
850,3,False,True,True,132
800,3,True,True,False,132
600,3,True,True,False,132
800,2,True,True,True,132
100,2,False,True,True,131
450,3,True,False,False,131
200,2,False,True,True,131
200,1,True,False,True,131
450,4,True,False,True,130
850,2,False,True,True,130
450,3,True,True,True,130
350,1,True,False,True,130
50,2,False,True,False,130
800,3,False,True,True,130
450,3,True,False,True,130
400,2,False,True,True,130
300,3,True,True,True,130
950,2,False,True,False,130
400,4,True,False,False,129
50,3,False,True,False,129
950,3,True,True,True,129
150,3,True,True,True,129
1000,2,False,True,False,129
1000,2,False,True,True,129
200,4,True,False,False,129
400,0,True,True,False,129
700,1,True,True,False,128
400,3,True,True,True,128
400,3,True,False,False,128
700,3,True,True,False,128
500,3,True,False,False,128
200,3,True,False,False,128
250,3,False,True,False,128
50,3,False,True,True,128
200,0,True,True,False,128
550,2,False,True,False,128
250,0,True,False,False,128
550,0,True,False,False,127
550,3,True,True,True,127
200,2,True,False,False,127
550,1,True,True,False,127
1000,3,False,True,False,127
150,2,True,False,True,127
200,3,False,True,False,127
500,0,True,False,False,127
250,1,True,True,False,127
650,2,False,True,False,126
300,4,False,True,False,126
450,1,True,True,True,126
650,3,True,False,False,126
450,3,False,True,True,126
650,3,True,True,True,126
400,2,True,False,False,126
750,2,False,True,False,126
400,2,True,True,False,126
400,3,True,True,False,126
250,3,False,True,True,126
650,3,True,True,False,126
400,1,True,False,True,125
250,2,False,True,False,125
750,3,True,True,False,125
550,3,False,True,True,125
600,2,False,True,False,125
250,1,True,False,False,125
750,2,False,True,True,125
650,2,False,True,True,125
500,1,True,True,False,125
700,2,False,True,False,125
750,1,True,True,False,125
650,1,True,False,True,125
