Score Threshold,Dice Threshold,Consider Score,Consider Dice,Smart
250,3,True,False,True
750,2,True,True,False
500,2,True,True,True
900,2,True,True,True
1000,2,True,True,False
250,1,True,False,True
650,2,True,True,False
350,1,True,True,False
350,2,True,False,True
300,1,True,True,False
550,2,True,True,True
700,2,True,True,True
900,2,True,True,False
350,2,True,False,False
350,4,True,False,False
1000,2,True,True,True
850,2,True,True,True
350,0,True,False,True
300,4,True,False,False
300,0,True,True,False
350,1,True,True,True
600,2,True,True,True
350,2,True,True,False
1000,3,False,True,True
300,3,False,True,False
350,1,True,False,False
550,2,True,True,False
800,2,True,True,False
200,2,True,True,True
250,3,True,False,False
800,3,True,True,True
300,1,True,False,False
400,2,True,False,True
900,3,False,True,True
450,2,True,True,True
650,1,True,True,False
450,1,True,True,False
450,3,False,True,False
950,3,False,True,True
800,3,False,True,False
300,1,True,True,True
300,2,True,True,True
600,2,True,True,False
450,2,True,True,False
400,2,True,True,True
900,3,True,True,False
950,3,False,True,False
300,2,True,True,False
900,2,False,True,False
750,2,True,True,True
